ProductCode,ProductName,Brand,SubcategoryName,UnitPrice,PrimarySupplier,ProductDescription
ELE-001,Laptops M001,Acme,Laptops,220.9,Supplier A,"Imported item, refer to the supplier datasheet for full specifications and warranty terms."
ELE-002,Audio M002,Globex,Audio,648.68,Supplier B,"One of the stronger sellers in its category, frequently bundled with accessories at checkout."
APP-003,Mens M003,Initech,Mens,412.55,Supplier C,"Older catalog line being phased out, only limited stock remains in the central warehouse."
APP-004,Womens M004,Umbra,Womens,686.54,Supplier D,"Standard catalog product, ships from the central distribution center within two business days."
APP-005,Kids M005,Stark,Kids,260.92,Supplier E,"Imported item, refer to the supplier datasheet for full specifications and warranty terms."
HOM-006,Kitchen M006,Wayne,Kitchen,105.46,Supplier F,"One of the stronger sellers in its category, frequently bundled with accessories at checkout."
HOM-007,Furniture M007,Soylent,Furniture,319.4,Supplier G,"Older catalog line being phased out, only limited stock remains in the central warehouse."
HOM-008,Decor M008,Hooli,Decor,421.59,Supplier H,"Standard catalog product, ships from the central distribution center within two business days."
SPO-009,Fitness M009,Vanta,Fitness,84.74,Supplier I,"Imported item, refer to the supplier datasheet for full specifications and warranty terms."
SPO-010,Outdoor M010,Lumen,Outdoor,798.62,Supplier J,"One of the stronger sellers in its category, frequently bundled with accessories at checkout."
SPO-011,Team M011,Acme,Team,76.56,Supplier K,"Older catalog line being phased out, only limited stock remains in the central warehouse."
BEA-012,Skincare M012,Globex,Skincare,886.92,Supplier L,"Standard catalog product, ships from the central distribution center within two business days."
BEA-013,Makeup M013,Initech,Makeup,351.41,Supplier M,"Imported item, refer to the supplier datasheet for full specifications and warranty terms."
BEA-014,Fragrance M014,Umbra,Fragrance,158.95,Supplier N,"One of the stronger sellers in its category, frequently bundled with accessories at checkout."
IND-015,Tools M015,Stark,Tools,636.11,Supplier O,"Older catalog line being phased out, only limited stock remains in the central warehouse."
IND-016,Safety M016,Wayne,Safety,576.96,Supplier A,"Standard catalog product, ships from the central distribution center within two business days."
IND-017,Fasteners M017,Soylent,Fasteners,424.1,Supplier B,"Imported item, refer to the supplier datasheet for full specifications and warranty terms."
ELE-018,Phones M018,Hooli,Phones,624.02,Supplier C,"One of the stronger sellers in its category, frequently bundled with accessories at checkout."
ELE-019,Laptops M019,Vanta,Laptops,694.96,Supplier D,"Older catalog line being phased out, only limited stock remains in the central warehouse."
ELE-020,Audio M020,Lumen,Audio,727.47,Supplier E,"Standard catalog product, ships from the central distribution center within two business days."
APP-021,Mens M021,Acme,Mens,823.13,Supplier F,"Imported item, refer to the supplier datasheet for full specifications and warranty terms."
APP-022,Womens M022,Globex,Womens,203.17,Supplier G,"One of the stronger sellers in its category, frequently bundled with accessories at checkout."
APP-023,Kids M023,Initech,Kids,583.92,Supplier H,"Older catalog line being phased out, only limited stock remains in the central warehouse."
HOM-024,Kitchen M024,Umbra,Kitchen,674.32,Supplier I,"Standard catalog product, ships from the central distribution center within two business days."
HOM-025,Furniture M025,Stark,Furniture,394.16,Supplier J,"Imported item, refer to the supplier datasheet for full specifications and warranty terms."
HOM-026,Decor M026,Wayne,Decor,897.63,Supplier K,"One of the stronger sellers in its category, frequently bundled with accessories at checkout."
SPO-027,Fitness M027,Soylent,Fitness,683.87,Supplier L,"Older catalog line being phased out, only limited stock remains in the central warehouse."
SPO-028,Outdoor M028,Hooli,Outdoor,156.58,Supplier M,"Standard catalog product, ships from the central distribution center within two business days."
SPO-029,Team M029,Vanta,Team,355.52,Supplier N,"Imported item, refer to the supplier datasheet for full specifications and warranty terms."
BEA-030,Skincare M030,Lumen,Skincare,237.5,Supplier O,"One of the stronger sellers in its category, frequently bundled with accessories at checkout."
BEA-031,Makeup M031,Acme,Makeup,617.05,Supplier A,"Older catalog line being phased out, only limited stock remains in the central warehouse."
BEA-032,Fragrance M032,Globex,Fragrance,679.53,Supplier B,"Standard catalog product, ships from the central distribution center within two business days."
IND-033,Tools M033,Initech,Tools,274.75,Supplier C,"Imported item, refer to the supplier datasheet for full specifications and warranty terms."
IND-034,Safety M034,Umbra,Safety,654.05,Supplier D,"One of the stronger sellers in its category, frequently bundled with accessories at checkout."
IND-035,Fasteners M035,Stark,Fasteners,689.34,Supplier E,"Older catalog line being phased out, only limited stock remains in the central warehouse."
ELE-036,Phones M036,Wayne,Phones,568.39,Supplier F,"Standard catalog product, ships from the central distribution center within two business days."
ELE-037,Laptops M037,Soylent,Laptops,191.04,Supplier G,"Imported item, refer to the supplier datasheet for full specifications and warranty terms."
ELE-038,Audio M038,Hooli,Audio,858.85,Supplier H,"One of the stronger sellers in its category, frequently bundled with accessories at checkout."
APP-039,Mens M039,Vanta,Mens,545.07,Supplier I,"Older catalog line being phased out, only limited stock remains in the central warehouse."
APP-040,Womens M040,Lumen,Womens,336.24,Supplier J,"Standard catalog product, ships from the central distribution center within two business days."
APP-041,Kids M041,Acme,Kids,226.92,Supplier K,"Imported item, refer to the supplier datasheet for full specifications and warranty terms."
HOM-042,Kitchen M042,Globex,Kitchen,84.7,Supplier L,"One of the stronger sellers in its category, frequently bundled with accessories at checkout."
HOM-043,Furniture M043,Initech,Furniture,880.52,Supplier M,"Older catalog line being phased out, only limited stock remains in the central warehouse."
HOM-044,Decor M044,Umbra,Decor,598.88,Supplier N,"Standard catalog product, ships from the central distribution center within two business days."
SPO-045,Fitness M045,Stark,Fitness,481.99,Supplier O,"Imported item, refer to the supplier datasheet for full specifications and warranty terms."
SPO-046,Outdoor M046,Wayne,Outdoor,837.09,Supplier A,"One of the stronger sellers in its category, frequently bundled with accessories at checkout."
SPO-047,Team M047,Soylent,Team,645.96,Supplier B,"Older catalog line being phased out, only limited stock remains in the central warehouse."
BEA-048,Skincare M048,Hooli,Skincare,345.48,Supplier C,"Standard catalog product, ships from the central distribution center within two business days."
BEA-049,Makeup M049,Vanta,Makeup,234.4,Supplier D,"Imported item, refer to the supplier datasheet for full specifications and warranty terms."
BEA-050,Fragrance M050,Lumen,Fragrance,505.22,Supplier E,"One of the stronger sellers in its category, frequently bundled with accessories at checkout."
IND-051,Tools M051,Acme,Tools,641.44,Supplier F,"Older catalog line being phased out, only limited stock remains in the central warehouse."
IND-052,Safety M052,Globex,Safety,42.8,Supplier G,"Standard catalog product, ships from the central distribution center within two business days."
IND-053,Fasteners M053,Initech,Fasteners,261.45,Supplier H,"Imported item, refer to the supplier datasheet for full specifications and warranty terms."
ELE-054,Phones M054,Umbra,Phones,655.17,Supplier I,"One of the stronger sellers in its category, frequently bundled with accessories at checkout."
ELE-055,Laptops M055,Stark,Laptops,230.05,Supplier J,"Older catalog line being phased out, only limited stock remains in the central warehouse."
ELE-056,Audio M056,Wayne,Audio,98.48,Supplier K,"Standard catalog product, ships from the central distribution center within two business days."
APP-057,Mens M057,Soylent,Mens,378.83,Supplier L,"Imported item, refer to the supplier datasheet for full specifications and warranty terms."
APP-058,Womens M058,Hooli,Womens,593.31,Supplier M,"One of the stronger sellers in its category, frequently bundled with accessories at checkout."
APP-059,Kids M059,Vanta,Kids,659.47,Supplier N,"Older catalog line being phased out, only limited stock remains in the central warehouse."
HOM-060,Kitchen M060,Lumen,Kitchen,184.56,Supplier O,"Standard catalog product, ships from the central distribution center within two business days."
ELE-901,Audio M020,,Audio,,,
HOM-902,Kitchen M006,,Kitchen,,,
ZZZ-000,DO NOT USE,TEST,TEST,0.0,TEST,"Test product, exclude from the model."
